ID,Name,QTY
1,keychain,14
2,bottle cap,38
3,baseball,53
4,lamp,97
5,bottle of perfume,96
6,fake flowers,91
7,vase,35
8,light,69
9,class ring,20
10,pillow,4
11,paint brush,49
12,sand paper,94
13,roll of toilet paper,6
14,twister,84
15,steak knife,32
16,socks,19
17,cow,65
18,phone,61
19,floor,98
20,tea pot,71
21,tube of lipstick,36
22,soccer ball,56
23,spool of ribbon,57
24,book,39
25,box of chocolates,66
26,spice bottle,31
27,jar of jam,21
28,bouquet of flowers,2
29,plush bear,55
30,pepper shaker,63
31,banana,26
32,money,70
33,tennis ball,54
34,canteen,90
35,washing machine,10
36,desk,89
37,snowglobe,75
38,water bottle,47
39,hand mirror,18
40,hand fan,5
41,kitchen knife,62
42,glow stick,29
43,wishbone,48
44,cement stone,42
45,box of crayons,8
46,small pouch,17
47,bell,99
48,stick,43
49,bottle of honey,23
50,magnet,28
